theta	R_0	R_1	R_2
-5	0	0	0
-4.9	1	0	0
-4.8	1	0	0
-4.7	1	0	0
-4.6	0	0	0
-4.5	0	0	0
-4.4	0	0	0
-4.3	0	0	0
-4.2	0	0	0
-4.1	1	0	0
-4	0	0	0
-3.9	0	0	0
-3.8	0	0	0
-3.7	0	0	0
-3.6	1	0	0
-3.5	0	0	0
-3.4	0	0	0
-3.3	0	0	0
-3.2	0	0	0
-3.1	0	0	0
-3	0	0	0
-2.9	0	0	0
-2.8	1	0	0
-2.7	1	0	0
-2.6	1	0	0
-2.5	1	0	0
-2.4	0	0	0
-2.3	3	0	0
-2.2	0	0	0
-2.1	1	0	0
-2	1	0	0
-1.9	3	0	0
-1.8	4	0	0
-1.7	3	0	0
-1.6	4	0	0
-1.5	6	0	0
-1.4	5	0	0
-1.3	685	0	0
-1.2	7132	0	0
-1.1	6165	0	0
-1	5215	0	0
-0.9	4789	0	0
-0.8	4591	0	0
-0.7	4463	0	0
-0.6	4359	0	0
-0.5	4323	0	0
-0.4	4835	0	0
-0.3	6557	0	0
-0.2	6261	0	0
-0.1	2950	0	0
0	982	0	0
0.1	172	0	0
0.2	36	0	0
0.3	9	0	0
0.4	4	0	0
0.5	8	0	0
0.6	8	0	0
0.7	12	0	0
0.8	6	0	0
0.9	10	0	0
1	12	0	0
1.1	8	0	0
1.2	9	0	0
1.3	9	0	0
1.4	10	0	0
1.5	11	0	0
1.6	7	0	0
1.7	9	0	0
1.8	6	0	0
1.9	6	0	0
2	11	0	0
2.1	6	0	0
2.2	14	0	0
2.3	16	0	0
2.4	48	0	0
2.5	81	0	0
2.6	175	0	0
2.7	284	0	0
2.8	403	0	0
2.9	601	0	0
3	646	0	0
3.1	723	0	0
3.2	822	0	0
3.3	883	0	0
3.4	929	0	0
3.5	915	0	0
3.6	941	0	0
3.7	1022	0	0
3.8	982	0	0
3.9	986	0	0
4	1002	0	0
4.1	973	0	0
4.2	1024	0	0
4.3	919	0	0
4.4	888	0	0
4.5	906	0	0
4.6	921	0	0
4.7	914	0	0
4.8	870	0	0
4.9	810	0	0
5	883	0	0
5.1	830	0	0
5.2	932	0	0
5.3	1242	0	0
5.4	1372	0	0
5.5	1387	0	0
5.6	1180	0	0
5.7	1011	0	0
5.8	810	0	0
5.9	787	0	0
6	1196	0	0
6.1	1973	0	0
6.2	2410	0	0
6.3	2511	0	0
6.4	2031	0	0
6.5	1646	0	0
6.6	1013	0	0
6.7	678	0	0
